epoch,loss,episodes,steps,win count,win_rate,optimal_path_length,suboptimal_steps,total_reward,learning_rate,elapsed_time
0,0.0443094727024436,100,5493,37,0.37,6,94,-1300.9699999999984,0.001,1.7378718852996826
1,0.05896682547405362,100,5342,44,0.44,8,92,-1241.6599999999999,0.001,3.461864948272705
2,0.05426011746749282,100,5397,42,0.42,4,96,-1257.4899999999998,0.001,5.37721586227417
3,0.06137145955115557,100,5363,42,0.42,5,95,-1255.499999999999,0.001,7.495869874954224
4,0.06541348418220877,100,4456,58,0.58,8,92,-1004.97,0.001,9.103936672210693
5,0.05129862833768129,100,5451,38,0.38,10,90,-1282.7099999999991,0.001,11.443821668624878
6,0.05302254640497267,100,5856,32,0.32,11,89,-1386.6299999999994,0.001,13.358710050582886
7,0.052869600662961605,100,5114,43,0.43,4,96,-1188.6399999999999,0.001,15.23594880104065
8,0.061299054976552726,100,5336,39,0.39,2,98,-1252.0799999999995,0.001,17.96537184715271
9,0.04497667375020683,100,5073,47,0.47,2,98,-1175.4899999999993,0.001,19.814854860305786
10,0.05896165817975998,100,5466,38,0.38,8,92,-1285.4099999999996,0.001,21.814899921417236
11,0.04416991570033133,100,5038,50,0.5,8,92,-1160.0499999999995,0.001,23.697824954986572
12,0.04714227196760476,100,4802,47,0.47,5,95,-1108.79,0.001,25.462625741958618
13,0.030630406709387898,100,3575,71,0.71,3,97,-747.89,0.001,26.884326934814453
14,0.03158552912529558,100,4066,56,0.56,11,89,-911.65,0.001,28.414621829986572
15,0.03577523186802864,100,4677,53,0.53,7,93,-1069.1999999999994,0.001,30.158849716186523
16,0.02837572735734284,100,3527,67,0.67,4,96,-744.8800000000003,0.001,31.600300788879395
17,0.017721816797275095,100,2155,84,0.84,8,92,-383.78000000000003,0.001,32.73889994621277
18,0.008186620865017176,100,1691,90,0.9,4,96,-245.99999999999994,0.001,33.81537365913391
19,0.002043342830729671,100,614,100,1.0,6,94,39.11000000000001,0.001,34.677865982055664
